Name,Corrected_name
MALDANE SARS,MALDANE SARSI
MARGARITES G,MARGARITES GROENLANDICUS
MEGANYCTIPHA,MEGANYCTIPHANES
MESOTHURIA I,MESOTHURIA INTESTINALIS
MOLPADIA ARC,MOLPADIA ARCTICA
MOLPADIA BOR,MOLPADIA BOREALIS
MUNIDA TENUI,MUNIDA TENUIMANA
MYCTOPHIFORM,MYCTOPHIFORMES
NEMERTESIA A,NEMERTESIA ANTENNINA
NEMERTESIA R,NEMERTESIA RAMOSA
NEPTUNEA COM,NEPTUNEA COMMUNIS
NEPTUNEA DEN,NEPTUNEA DENSELIRATA
NOTHRIA CONC,NOTHRIA CONCHYLEGA
NOTOSCOPELUS ELONGATUS KROYERI,NOTOSCOPELUS KROYERI
NYMPHON GRAC,NYMPHON GRACILE
NYMPHON HIRT,NYMPHON HIRTUM
NYMPHON STRO,NYMPHON STROEMI
OCTOPUS VULG,OCTOPUS VULGARIS
OEDICEROTIDA,OEDICEROTIDAE
ONCAEA BOREA,ONCAEA BOREALIS
ONCHIDORIDID,ONCHIDORIDIDAE
OPHELINA ACU,OPHELINA ACUMINATA
OPHIACANTHID,OPHIACANTHA
OPHIOCTEN SE,OPHIOCTEN SERICEUM
OPHIOTHRIX F,OPHIOTHRIX FRAGILIS
OPHIURA ALBI,OPHIURA ALBIDA
OPHIURA OPHI,OPHIURA OPHIURA
OPHIURA ROBU,OPHIURA ROBUSTA
OPHIURA SARS,OPHIURA SARSI
OPHIURA SARSI,OPHIURA SARSII 
OSTEICHTHYES,ACTINOPTERYGII
PAGURUS ALAT,PAGURUS ALATUS
PAGURUS CUAN,PAGURUS CUANENSIS
PAGURUS PUBE,PAGURUS PUBESCENS
PALLIOLUM TI,PALLIOLUM TIGERINUM
PARASTICHOPU,PARASTICHOPUS
PASIPHAEA AF,PASIPHAEA AFFINIS
PELONAIA COR,PELONAIA CORRUGATA
PENTAMERA CA,PENTAMERA CALCIGERA
PHAEOCYSTACE,PHAEOCYSTACEAE
PHASCOLION S,PHASCOLION STROMBUS
PHILINE FINM,PHILINE FINMARCHICA
POLYCLINUM A,POLYCLINUM AURANTIUM
PONTASTER TE,PONTASTER TENUISPINUS
PTERASTER MI,PTERASTER MILITARIS
PTERASTER OB,PTERASTER OBSCURUS
PTERASTER PU,PTERASTER PULVILLUS
RADIELLA GRI,POLYMASTIA GRIMALDII
RADIELLA HEM,RADIELLA HEMISPHAERICA
RETEPORA,RETEPORELLA
RETEPORA BEA,RETEPORELLA BEANIANA
RHYNCHONELLI,RHYNCHONELLA
ROSSIA GLAUC,ROSSIA GLAUCOPIS
ROSSIA MACRO,ROSSIA MACROSOMA
ROSSIA MOELL,ROSSIA MOELLERI
ROSSIA PALPE,ROSSIA PALPEBROSA
SABINEA SARS,SABINEA SARSII
SABINEA SEPT,SABINEA SEPTEMCARINATA
SARSIA PRINC,SARSIA PRINCEPS 
SCAPHANDER L,SCAPHANDER LIGNARIUS
SCAPHANDER P ,SCAPHANDER PUNCTOSTRIATUS
SCLEROCRANGO,SCLEROCRANGON
SEBASTES MARINUS,SEBASTES NORVEGICUS
SECURIFLUSTR,SECURIFLUSTRA
SECURIFLUSTR,SECURIFLUSTRA
SEMAEOGNATHI,SEMAEOGNATHIA
SEMAEOGNATHI,SEMAEOGNATHIA
SEPIA ELEGAN,SEPIA ELEGANS
SEPIA OFFICI,SEPIA OFFICINALIS
SEPIETTA NEG,SEPIETTA NEGLECTA
SEPIETTA OWE,SEPIETTA OWENIANA
SEPIOLA ATLA,SEPIOLA ATLANTICA
SEPIOLA ATLA,SEPIOLA ATLANTICA
SEPIOLA LIGU,SEPIOLA LIGULATA
SEPIOLA TRID,SEPIOLA TRIDENS
SERPULA VERM,SERPULA VERMICULARIS
SERTELLA BEA,RETEPORELLA BEANIANA
SERTULARIIDA,SERTULARIA
SERTULARIIDA,SERTULARIA
SOLASTER GLA,SOLASTER GLACIALIS
SPATANGUS PU,SPATANGUS PURPUREUS
SPIOCHAETOPT,SPIOCHAETOPTERUS
SPIRONTOCARI,SPIRONTOCARIS
SPIRONTOCARI, SPIRONTOCARIS
SPIRONTOCARIS LILLJEBORGII,SPIRONTOCARIS LILJEBORGII
STAUROMEDUSA,STAUROMEDUSAE
STEGOCEPHALI,STEGOCEPHALUS
STEGOCEPHALI,STEGOCEPHALUS
STOMPHIA COC,STOMPHIA COCCINEA
STRONGYLOCEN,STRONGYLOCERA
STRONGYLOCEN,STRONGYLOCERA
SUBERITES FI,SUBERITES FICUS
SYNGNATHOIDEI,SYNGNATHOIDES
SYNGNATHOIDEI,SYNGNATHOIDES
SYNOICUM PUL,SYNOICUM PULMONARIA
TENTORIUM SE,TENTORIUM SEMISUBERITES
TEREBRATELLI,TEREBRATULA
TEREBRATELLI,TEREBRATELLA
TEREBRATELLI ,TEREBRATELLA
TEREBRATULAC,TEREBRATULA
TEREBRATULAC,TEREBRATULA
TEREBRATULIN,TEREBRATULA
TEREDO NORVA,NOTOTEREDO NORVAGICA
TETHYA NORVEGICA,TETHYA NORVEGICA
TETILLA POLY,TETILLA POLYURA
THEMISTO ABY,THEMISTO ABYSSORUM
THEMISTO COM,THEMISTO COMPRESSA
THEMISTO LIB,THEMISTO LIBELLULA
THENEA MURIC,THENEA MURICATA
THUIARIA THU,THUIARIA THUJA
TIMOCLEA OVA,TIMOCLEA OVATA
TODARODES SA,TODARODES SAGITTATUS
TODAROPSIS E,TODAROPSIS EBLANAE
TRISCHIZOSTO,TRISCHIZOSTOMA
TRISCHIZOSTO ,TRISCHIZOSTOMA
TUBULANUS AN,TUBULANUS ANNULATUS
TUBULARIA IN,TUBULARIA INDIVISA
TURRISIPHO L,TURRISIPHO LACHESIS
UMBELLULA EN,UMBELLULA ENCRINUS
URASTERIAS L,URASTERIAS LINCKI
VELUTINA UND,VELUTINA UNDATA
VIRGULARIA M,VIRGULARIA MIRABILIS
YOLDIA HYPER,YOLDIA HYPERBOREA
YOLDIELLA IN,YOLDIELLA INTERMEDIA
PSEUDARCHAST,PSEUDARCHASTER
PRIAPULA,PRIAPULUS
PLUMULARIIDA,PLUMULARIIDAE
PHYLLOPHORID,PHYLLOPHORIDAE
PERIPHYLLIDA,PERIPHYLLIDAE
PARASTICHOPU,PARASTICHOPUS
PARANIOMORPHA,PORANIOMORPHA
CLADORHIZIDA                                      ,CLADORHIZIDAE                 
BATHYPOLYPOD   ,BATHYPOLYPODIDAE
CAMPANULARII,CAMPANULARIIDAE
CIRROTEUTHID,CIRROTEUTHIDAE        
DIASTOBRANCH,DIASTOBRANCHUS
ECHINOCARDIU,ECHINOCARDIUM
GALATHEA NEX,GALATHEA NEXA
BRACHIOTEUTH,BRACHIOTEUTHIS
PORANIA PULVILLUS,PORANIA (PORANIA) PULVILLUS
GAMMARIDEA,AMPHIPODA
OPISTHOBRANCHIA,GASTROPODA
