,AphiaID,scientificname,valid_name,valid_AphiaID,kingdom,phylum,class,order,family,genus
51,126281,Anguilla anguilla,Anguilla anguilla,126281,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla
52,2,Animalia,Animalia,2,Animalia,NA,NA,NA,NA,NA
53,127070,Anisarchus medius,Anisarchus medius,127070,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Anisarchus
54,882,Annelida,Annelida,882,Animalia,Annelida,NA,NA,NA,NA
55,214,Anomiidae,Anomiidae,214,Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,NA
56,106671,Anomura,Anomura,106671,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA
57,101592,Anonyx,Anonyx,101592,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Anonyx
58,123280,Anseropoda,Anseropoda,123280,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Anseropoda
59,123985,Anseropoda placenta,Anseropoda placenta,123985,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Anseropoda
60,132982,Antho dichotoma,Antho (Antho) dichotoma,167882,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Antho
61,1292,Anthozoa,Anthozoa,1292,Animalia,Cnidaria,Anthozoa,NA,NA,NA
62,127085,Aphanopus carbo,Aphanopus carbo,127085,Animalia,Chordata,Actinopterygii,Perciformes,Trichiuridae,Aphanopus
63,126868,Aphia minuta,Aphia minuta,126868,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Aphia
64,129194,Aphrodita,Aphrodita,129194,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Aphrodita
65,129840,Aphrodita aculeata,Aphrodita aculeata,129840,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Aphrodita
66,938,Aphroditidae,Aphroditidae,938,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,NA
67,927,Aphroditiformia,Aphroditiformia,927,Animalia,Annelida,Polychaeta,Phyllodocida,NA,NA
68,411,Aplacophora,Aplacophora,411,Animalia,Mollusca,Aplacophora,NA,NA,NA
69,103471,Aplidium,Aplidium,103471,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium
70,172,Aplysiidae,Aplysiidae,172,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,NA
71,22988,Aporrhaidae,Aporrhaidae,22988,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,NA
72,137656,Aporrhais,Aporrhais,137656,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,Aporrhais
73,590947,Aporrhais pespelicani,Aporrhais pespelecani,138760,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,Aporrhais
74,138761,Aporrhais serresiana,Aporrhais serresiana,138761,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,Aporrhais
75,137658,Archidoris,Doris,137914,Animalia,Mollusca,Gastropoda,Nudibranchia,Dorididae,Archidoris
76,138802,Arctica islandica,Arctica islandica,138802,Animalia,Mollusca,Bivalvia,Venerida,Arcticidae,Arctica
77,140688,Arctinula greenlandica,Similipecten greenlandicus,181299,Animalia,Mollusca,Bivalvia,Pectinida,Propeamussiidae,Arctinula
78,126432,Arctogadus glacialis,Arctogadus glacialis,126432,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Arctogadus
79,126352,Arctozenus risso,Arctozenus risso,126352,Animalia,Chordata,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus
80,125885,Argentina,Argentina,125885,Animalia,Chordata,Actinopterygii,Argentiniformes,Argentinidae,Argentina
81,126715,Argentina silus,Argentina silus,126715,Animalia,Chordata,Actinopterygii,Argentiniformes,Argentinidae,Argentina
82,126716,Argentina sphyraena,Argentina sphyraena,126716,Animalia,Chordata,Actinopterygii,Argentiniformes,Argentinidae,Argentina
83,125508,Argentinidae,Argentinidae,125508,Animalia,Chordata,Actinopterygii,Argentiniformes,Argentinidae,NA
84,127309,Argyropelecus hemigymnus,Argyropelecus hemigymnus,127309,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus
85,274967,Argyropelecus olfersii,Argyropelecus olfersii,274967,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus
86,127126,Arnoglossus laterna,Arnoglossus laterna,127126,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus
87,102870,Arrhis phyllonyx,Arrhis phyllonyx,102870,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Arrhis
88,127193,Artediellus atlanticus,Artediellus atlanticus,127193,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artediellus
89,1065,Arthropoda,Arthropoda,1065,Animalia,Arthropoda,NA,NA,NA,NA
90,103483,Ascidia,Ascidia,103483,Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia
91,103714,Ascidia prunum,Ascidia prunum,103714,Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia
92,103717,Ascidia virginea,Ascidia virginea,103717,Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia
93,1839,Ascidiacea,Ascidiacea,1839,Animalia,Chordata,Ascidiacea,NA,NA,NA
94,103484,Ascidiella,Ascidiella,103484,Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella
95,103719,Ascidiella scabra,Ascidiella scabra,103719,Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella
96,103443,Ascidiidae,Ascidiidae,103443,Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,NA
97,145541,Ascophyllum nodosum,Ascophyllum nodosum,145541,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Ascophyllum
98,309268,Aspidophoroides olrikii,Aspidophoroides olrikii,309268,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Aspidophoroides
99,118445,Astacilla,Astacilla,118445,Animalia,Arthropoda,Malacostraca,Isopoda,Arcturidae,Astacilla
100,119024,Astacilla longicornis,Astacilla longicornis,119024,Animalia,Arthropoda,Malacostraca,Isopoda,Arcturidae,Astacilla
101,137683,Astarte,Astarte,137683,Animalia,Mollusca,Bivalvia,Carditida,Astartidae,Astarte
102,138820,Astarte crenata,Astarte crenata,138820,Animalia,Mollusca,Bivalvia,Carditida,Astartidae,Astarte
103,138824,Astarte sulcata,Astarte sulcata,138824,Animalia,Mollusca,Bivalvia,Carditida,Astartidae,Astarte
104,228,Astartidae,Astartidae,228,Animalia,Mollusca,Bivalvia,Carditida,Astartidae,NA
105,123219,Asterias,Asterias,123219,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias
