AphiaID,scientificname,valid_name,valid_AphiaID,kingdom,phylum,class,order,family,genus
410724,Golfingia (golfingia) vulgaris,Golfingia (Golfingia) vulgaris vulgaris,410724,Animalia,Sipuncula,Sipunculidea,Golfingiida,Golfingiidae,Golfingia
125166,Porania (porania) pulvillus,Porania (Porania) pulvillus,125166,Animalia,Echinodermata,Asteroidea,Valvatida,Poraniidae,Porania
